Domain,Variable,Source Topic
Political & Economic Orientations,NATCHLD,Priorities for national spending
Political & Economic Orientations,NATCITY,Priorities for national spending
Political & Economic Orientations,NATCRIME,Priorities for national spending
Political & Economic Orientations,NATDRUG,Priorities for national spending
Political & Economic Orientations,NATEDUC,Priorities for national spending
Political & Economic Orientations,NATENRGY,Priorities for national spending
Political & Economic Orientations,NATENVIR,Priorities for national spending
Political & Economic Orientations,NATFARE,Priorities for national spending
Political & Economic Orientations,NATHEAL,Priorities for national spending
Political & Economic Orientations,NATRACE,Priorities for national spending
Political & Economic Orientations,NATROAD,Priorities for national spending
Political & Economic Orientations,NATSCI,Priorities for national spending
Political & Economic Orientations,NATSOC,Priorities for national spending
Political & Economic Orientations,NATSPAC,Priorities for national spending
Political & Economic Orientations,PARSOL,Economic well-being
Political & Economic Orientations,PARTYID,Voting and political preferences
Political & Economic Orientations,POLVIEWS,Voting and political preferences
Political & Economic Orientations,RANK,Class identification and economic well-being
Political & Economic Orientations,SATFIN,Class identification and economic well-being
Political & Economic Orientations,TAX,Tax attitudes
Social Attitudes & Morality,ABANY,Legalized abortion
Social Attitudes & Morality,ABDEFECT,Legalized abortion
Social Attitudes & Morality,ABHLTH,Legalized abortion
Social Attitudes & Morality,ABNOMORE,Legalized abortion
Social Attitudes & Morality,ABPOOR,Legalized abortion
Social Attitudes & Morality,ABRAPE,Legalized abortion
Social Attitudes & Morality,ABSINGLE,Legalized abortion
Social Attitudes & Morality,CHLDIDEL,Family & children
Social Attitudes & Morality,DISCAFFM,Gender roles
Social Attitudes & Morality,DISCAFFW,Gender roles
Social Attitudes & Morality,FECHLD,Gender roles
Social Attitudes & Morality,FEFAM,Gender roles
Social Attitudes & Morality,FEHIRE,Gender roles
Social Attitudes & Morality,FEJOBAFF,Gender roles
Social Attitudes & Morality,FEPOL,Gender roles
Social Attitudes & Morality,FEPRESCH,Gender roles
Social Attitudes & Morality,HELPOTH,Family & children
Social Attitudes & Morality,HOMOSEX,Sexual behavior
Social Attitudes & Morality,MEOVRWRK,Gender roles
Social Attitudes & Morality,OBEY,Family & children
Social Attitudes & Morality,PILLOK,Sexual behavior
Social Attitudes & Morality,POPULAR,Family & children
Social Attitudes & Morality,PORNLAW,Sexual behavior
Social Attitudes & Morality,PREMARSX,Sexual behavior
Social Attitudes & Morality,SEXEDUC,Sexual behavior
Social Attitudes & Morality,SPANKING,Family & children
Social Attitudes & Morality,TEENSEX,Sexual behavior
Social Attitudes & Morality,THNKSELF,Family & children
Social Attitudes & Morality,WORKHARD,Family & children
Social Attitudes & Morality,XMARSEX,Sexual behavior
Social Attitudes & Morality,XMOVIE,Sexual behavior
Institutional Confidence,CONARMY,Confidence in institutions
Institutional Confidence,CONBUS,Confidence in institutions
Institutional Confidence,CONCLERG,Confidence in institutions
Institutional Confidence,CONEDUC,Confidence in institutions
Institutional Confidence,CONFED,Confidence in institutions
Institutional Confidence,CONFINAN,Confidence in institutions
Institutional Confidence,CONJUDGE,Confidence in institutions
Institutional Confidence,CONLABOR,Confidence in institutions
Institutional Confidence,CONLEGIS,Confidence in institutions
Institutional Confidence,CONMEDIC,Confidence in institutions
Institutional Confidence,CONPRESS,Confidence in institutions
Institutional Confidence,CONSCI,Confidence in institutions
Institutional Confidence,CONTV,Confidence in institutions
Well-being & Life Orientations,FAIR,Subjective well-being and social life orientations
Well-being & Life Orientations,HAPPY,Subjective well-being and social life orientations
Well-being & Life Orientations,HEALTH,Subjective well-being and social life orientations
Well-being & Life Orientations,HELPFUL,Subjective well-being and social life orientations
Well-being & Life Orientations,JOBFIND,Work orientation
Well-being & Life Orientations,JOBLOSE,Work orientation
Well-being & Life Orientations,LETDIE1,Suicide
Well-being & Life Orientations,LIFE,Subjective well-being
Well-being & Life Orientations,RICHWORK,Work orientation
Well-being & Life Orientations,SATJOB,Subjective well-being and social life orientations
Well-being & Life Orientations,SUICIDE1,Suicide
Well-being & Life Orientations,SUICIDE2,Suicide
Well-being & Life Orientations,SUICIDE4,Suicide
Well-being & Life Orientations,TRUST,Subjective well-being and social life orientations
