variable,domain,source_topic,analytic_core,exclusion_reason,notes
HELPFUL,Well-being & Life Orientations,Subjective well-being and social life orientations,1,,
HELPNOT,Civil Liberties & Government,Government Intervention,1,,
HELPOTH,Social Attitudes & Morality,Family & children,1,,
HELPPOOR,Civil Liberties & Government,Government Intervention,1,,
HELPSICK,Civil Liberties & Government,Government Intervention,1,,
HOMOSEX,Social Attitudes & Morality,Sexual behavior,1,,
JOBFIND,Well-being & Life Orientations,Work orientation,1,,
JOBLOSE,Well-being & Life Orientations,Work orientation,1,,
KIDSSOL,Political & Economic Orientations,Economic well-being,1,,
LETDIE1,Well-being & Life Orientations,Suicide,1,,
LETIN1A,Race & Inequality,Attitude and opinion items,1,,
LIBATH,Civil Liberties & Government,Civil liberties (Stouffer),1,,
LIBCOM,Civil Liberties & Government,Civil liberties (Stouffer),1,,
LIBMSLM,Civil Liberties & Government,Civil liberties (Stouffer),1,,
LIBRAC,Civil Liberties & Government,Civil liberties (Stouffer),1,,
LIFE,Well-being & Life Orientations,Subjective well-being,1,,
MEOVRWRK,Social Attitudes & Morality,Gender roles,1,,
NATAID,Political & Economic Orientations,Priorities for national spending,1,,
NATARMS,Political & Economic Orientations,Priorities for national spending,1,,
NATCHLD,Political & Economic Orientations,Priorities for national spending,1,,
NATCITY,Political & Economic Orientations,Priorities for national spending,1,,
NATCRIME,Political & Economic Orientations,Priorities for national spending,1,,
NATDRUG,Political & Economic Orientations,Priorities for national spending,1,,
NATEDUC,Political & Economic Orientations,Priorities for national spending,1,,
NATENRGY,Political & Economic Orientations,Priorities for national spending,1,,
NATENVIR,Political & Economic Orientations,Priorities for national spending,1,,
NATFARE,Political & Economic Orientations,Priorities for national spending,1,,
NATHEAL,Political & Economic Orientations,Priorities for national spending,1,,
NATRACE,Political & Economic Orientations,Priorities for national spending,1,,
NATROAD,Political & Economic Orientations,Priorities for national spending,1,,
NATSCI,Political & Economic Orientations,Priorities for national spending,1,,
NATSOC,Political & Economic Orientations,Priorities for national spending,1,,
NATSPAC,Political & Economic Orientations,Priorities for national spending,1,,
OBEY,Social Attitudes & Morality,Family & children,1,,
PARSOL,Political & Economic Orientations,Economic well-being,1,,
PARTYID,Political & Economic Orientations,Voting and political preferences,1,,
PILLOK,Social Attitudes & Morality,Sexual behavior,1,,
POLABUSE,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
POLATTAK,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
POLESCAP,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
POLHITOK,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
POLMURDR,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
POLVIEWS,Political & Economic Orientations,Voting and political preferences,1,,
POPULAR,Social Attitudes & Morality,Family & children,1,,
PORNLAW,Social Attitudes & Morality,Sexual behavior,1,,
POSTLIFE,Religion,Religious attitudes and behavior,1,,
PRAY,Religion,Religious attitudes and behavior,1,,
PRAYER,Religion,Religion,1,,
PREMARSX,Social Attitudes & Morality,Sexual behavior,1,,
RACDIF1,Race & Inequality,Racial attitudes and stereotypes,1,,
RACDIF2,Race & Inequality,Racial attitudes and stereotypes,1,,
RACDIF3,Race & Inequality,Racial attitudes and stereotypes,1,,
RACDIF4,Race & Inequality,Racial attitudes and stereotypes,1,,
RACOPEN,Race & Inequality,Racial attitudes,1,,
RANK,Political & Economic Orientations,Class identification and economic well-being,1,,
REBORN,Religion,Religious attitudes and behavior,1,,
RELACTIV,Religion,Religious attitudes and behavior,1,,
RELPERSN,Religion,Religious attitudes and behavior,1,,
RICHWORK,Well-being & Life Orientations,Work orientation,1,,
SATFIN,Political & Economic Orientations,Class identification and economic well-being,1,,
SATJOB,Well-being & Life Orientations,Subjective well-being and social life orientations,1,,
SEXEDUC,Social Attitudes & Morality,Sexual behavior,1,,
SPANKING,Social Attitudes & Morality,Family & children,1,,
SPKATH,Civil Liberties & Government,Civil liberties (Stouffer),1,,
SPKCOM,Civil Liberties & Government,Civil liberties (Stouffer),1,,
SPKMSLM,Civil Liberties & Government,Civil liberties (Stouffer),1,,
SPKRAC,Civil Liberties & Government,Civil liberties (Stouffer),1,,
SPRTPRSN,Religion,Religious attitudes and behavior,1,,
SUICIDE1,Well-being & Life Orientations,Suicide,1,,
SUICIDE2,Well-being & Life Orientations,Suicide,1,,
SUICIDE4,Well-being & Life Orientations,Suicide,1,,
TAX,Political & Economic Orientations,Tax attitudes,1,,
TEENSEX,Social Attitudes & Morality,Sexual behavior,1,,
THNKSELF,Social Attitudes & Morality,Family & children,1,,
TRUST,Well-being & Life Orientations,Subjective well-being and social life orientations,1,,
WLTHBLKS,Race & Inequality,Racial attitudes and stereotypes,1,,
WLTHWHTS,Race & Inequality,Racial attitudes and stereotypes,1,,
WORKBLKS,Race & Inequality,Racial attitudes and stereotypes,1,,
WORKHARD,Social Attitudes & Morality,Family & children,1,,
WORKWHTS,Race & Inequality,Racial attitudes and stereotypes,1,,
WRKWAYUP,Race & Inequality,Racial attitudes and stereotypes,1,,
XMARSEX,Social Attitudes & Morality,Sexual behavior,1,,
XMOVIE,Social Attitudes & Morality,Sexual behavior,1,,
HAPCOHAB,Well-being & Life Orientations,Subjective well-being and social life orientations,0,conditionally_fielded,Asked only of cohabiting respondents. Excluded for same reason as HAPMAR: structural missingness confounded with mode.
HAPMAR,Well-being & Life Orientations,Subjective well-being and social life orientations,0,conditionally_fielded,Asked only of married respondents. Excluded due to structural missingness confounded with mode (FTF/Phone and web subsamples differ in marital composition). See also HAPCOHAB.
BROADBAND,NA,Computer and internet usage,0,excluded_not_attitude_item,Binary yes/no item (household broadband access). Excluded as non-attitude item; directly confounded with mode selection.
COMPUSE,NA,Computer and internet usage,0,excluded_not_attitude_item,Binary yes/no item (ever use a computer). Excluded as non-attitude item; also likely confounded with mode selection (web respondents by definition have computer/internet access).
MOBILEDATA,NA,Computer and internet usage,0,excluded_not_attitude_item,Binary yes/no item (household cellular data access). Excluded as non-attitude item; directly confounded with mode selection.
WEBMOB,NA,Computer and internet usage,0,excluded_not_attitude_item,Binary yes/no item (internet access via mobile device). Excluded as non-attitude item; directly confounded with mode selection.
SVYENJOY,NA,Interest in surveys,0,excluded_survey_quality,
SVYID1,NA,Interest in surveys,0,excluded_survey_quality,
SVYID2,NA,Interest in surveys,0,excluded_survey_quality,
IF16WHO,Political & Economic Orientations,Voting and political preferences,0,excluded_voting_items,Excluded: hypothetical presidential vote choice item.
IF20WHO,Political & Economic Orientations,Voting and political preferences,0,excluded_voting_items,Excluded: hypothetical presidential vote choice item.
PRES16,Political & Economic Orientations,Voting and political preferences,0,excluded_voting_items,Excluded: presidential vote choice item.
